Id,Date,Latency,Download,Upload,ConnType,ServerName,Lat,Lon,InternalIp,ExternalIp,Jitter,Loss,DataUsedDown,DataUsedUp,AdditionalServers,ISP
df8316db-3021-4cfb-b3c8-2189fdaf95bd,Aug/24/2024 15:45,83.164,158.8368,11.6567,Wifi,Atlanta GA,33.7697,-84.3754,fe80::936a:74e4:bea3:1621,143.215.16.72,9,0,37.3 MB,16.8 MB,"Whitesky Communications LLC,Sparklight,Georgia Institute of Technology",Georgia Tech
ae1348a4-0d82-44c1-887a-865bdfb78f71,Aug/19/2024 21:05,31.547,203.3949,19.17098,Wifi,San Francisco CA,37.8487,-122.2209,fe80::936a:74e4:bea3:1621,76.21.29.55,3,0,333.1 MB,26.2 MB,"Pavlov Media,Nitel,Sangoma",Georgia Tech
11dd5d8c-7dd1-428a-ac4a-2c464a4b0d77,Aug/19/2024 21:03,128.313,23.46066,11.41234,Wifi,San Francisco CA,37.8487,-122.2209,fe80::936a:74e4:bea3:1621,76.21.29.55,494,2.8,27.5 MB,19.1 MB,"WiLine Networks,Wave,Jefferson Union High School District",XFINITY
134de100-84ad-4a34-b6bb-4a9d2ec0ccb7,Aug/16/2024 21:56,81.737,261.3466,21.75158,Wifi,Atlanta GA,33.8019,-84.3861,fe80::936a:74e4:bea3:1621,143.215.16.146,5,29.9,481.9 MB,194.1 MB,"Sparklight,Georgia Institute of Technology,Netprotect",Georgia Tech
d6fda2ef-1cce-4370-a201-88681ec6105b,Jul/20/2024 11:22,14.966,446.8824,23.16708,Wifi,Daly City CA,37.8487,-122.2209,fe80::936a:74e4:bea3:1621,76.21.29.55,,,,,,
49d2e91e-6957-4f91-8ab2-6b213970e443,Jul/02/2024 11:25,62.096,8.042064,11.57788,Wifi,Atlanta GA,33.8019,-84.3861,fe80::936a:74e4:bea3:1621,143.215.16.209,,,,,,
8f29e200-9345-4cec-8915-1d64c9778df1,Jul/01/2024 14:28,90.865,3.43964,5.0022,Wifi,Atlanta GA,33.8019,-84.3861,fe80::936a:74e4:bea3:1621,143.215.16.209,,,,,,
5f88fa3c-78a3-4e9e-89b0-103769950f09,Jul/01/2024 14:12,61.438,2.193624,0.347344,Wifi,Atlanta GA,33.8019,-84.3861,fe80::936a:74e4:bea3:1621,143.215.16.209,132,0,3.4 MB,0.6 MB,"Whitesky Communications LLC,Sparklight,Sangoma",Georgia Tech
5f082d89-cbdd-4a87-9c97-6497d359f90f,Jul/01/2024 14:06,72.462,6.520176,4.192344,Wifi,Atlanta GA,33.8019,-84.3861,fe80::936a:74e4:bea3:1621,143.215.16.209,68,0.7,4.3 MB,7.8 MB,"Whitesky Communications LLC,Sparklight,Sangoma",Georgia Tech
e4db8f63-075f-40be-acab-f8193df1ff5d,Jun/28/2024 18:00,63.177,24.98727,26.40894,Wifi,Atlanta GA,33.7928,-84.3963,fe80::936a:74e4:bea3:1621,143.215.16.209,,,,,,
